"filename", "language", "JavaScript", "CSS", "SVG", "Vue", "Less", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/licheng/code/PearProject/my-front/src/components/Trend/index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/licheng/code/PearProject/my-front/src/components/Trend/index.less", "Less", 0, 0, 0, 0, 35, 0, 0, 0, 0, 8, 43
"/Users/licheng/code/PearProject/my-front/src/components/Trend/index.md", "Markdown", 0, 0, 0, 0, 0, 0, 31, 0, 0, 15, 46
"/Users/licheng/code/PearProject/my-front/src/components/chart/ChartCard.vue", "Vue", 0, 0, 0, 101, 0, 0, 0, 0, 0, 10, 111
"/Users/licheng/code/PearProject/my-front/src/components/chart/MiniProgress.vue", "Vue", 0, 0, 0, 69, 0, 0, 0, 0, 0, 7, 76
"/Users/licheng/code/PearProject/my-front/src/components/chart/RankList.vue", "Vue", 0, 0, 0, 67, 0, 0, 0, 0, 1, 9, 77
"/Users/licheng/code/PearProject/my-front/src/components/editor.vue", "Vue", 0, 0, 0, 144, 0, 0, 0, 0, 35, 3, 182
"/Users/licheng/code/PearProject/my-front/src/components/error/errorPage.vue", "Vue", 0, 0, 0, 94, 0, 0, 0, 0, 0, 9, 103
"/Users/licheng/code/PearProject/my-front/src/components/index.less", "Less", 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 5
"/Users/licheng/code/PearProject/my-front/src/components/layout/UserLayout.vue", "Vue", 0, 0, 0, 123, 0, 0, 0, 0, 10, 21, 154
"/Users/licheng/code/PearProject/my-front/src/components/layout/WrapperContent.vue", "Vue", 0, 0, 0, 135, 0, 0, 0, 0, 2, 8, 145
"/Users/licheng/code/PearProject/my-front/src/components/layout/account/setting.vue", "Vue", 0, 0, 0, 63, 0, 0, 0, 0, 0, 4, 67
"/Users/licheng/code/PearProject/my-front/src/components/layout/header/HeaderAvatar.vue", "Vue", 0, 0, 0, 86, 0, 0, 0, 0, 0, 7, 93
"/Users/licheng/code/PearProject/my-front/src/components/layout/header/HeaderNotice.vue", "Vue", 0, 0, 0, 269, 0, 0, 0, 0, 2, 17, 288
"/Users/licheng/code/PearProject/my-front/src/components/layout/header/HeaderSelect.vue", "Vue", 0, 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
"/Users/licheng/code/PearProject/my-front/src/components/project/createDepartment.vue", "Vue", 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 130
"/Users/licheng/code/PearProject/my-front/src/components/project/inviteDepartmentMember.vue", "Vue", 0, 0, 0, 182, 0, 0, 0, 0, 23, 8, 213
"/Users/licheng/code/PearProject/my-front/src/components/project/inviteProjectMember.vue", "Vue", 0, 0, 0, 209, 0, 0, 0, 0, 1, 6, 216
"/Users/licheng/code/PearProject/my-front/src/components/project/projectConfig.vue", "Vue", 0, 0, 0, 1139, 0, 0, 0, 0, 16, 48, 1203
"/Users/licheng/code/PearProject/my-front/src/components/project/projectMemberMenu.vue", "Vue", 0, 0, 0, 215, 0, 0, 0, 0, 5, 4, 224
"/Users/licheng/code/PearProject/my-front/src/components/project/projectSelect.vue", "Vue", 0, 0, 0, 172, 0, 0, 0, 0, 2, 8, 182
"/Users/licheng/code/PearProject/my-front/src/components/project/recycleBin.vue", "Vue", 0, 0, 0, 284, 0, 0, 0, 0, 0, 18, 302
"/Users/licheng/code/PearProject/my-front/src/components/project/taskDetail.vue", "Vue", 0, 0, 0, 2691, 0, 0, 0, 0, 30, 98, 2819
"/Users/licheng/code/PearProject/my-front/src/components/project/taskMemberMenu.vue", "Vue", 0, 0, 0, 191, 0, 0, 0, 0, 4, 4, 199
